"Permit.Number","Orig","Dest"
"99397W",18,18
"99398O",18,18
"99399H",18,18
"99400E",18,18
"99401V",18,18
"99402N",18,18
"99403G",18,18
"99404X",18,18
"99405P",18,18
"99406I",18,18
"99407A",18,18
"99408R",18,18
"99409K",18,18
"99410B",18,18
"99411S",18,18
"99412L",18,18
"99413E",18,18
"99414V",18,18
"99415N",18,18
"99416G",18,18
"99417X",18,18
"99418P",18,18
"99419I",18,18
"99420Z",18,18
"99421Q",18,18
"99422J",18,18
"99423B",18,18
"99424S",1,18
"99425L",18,18
"99426E",18,18
"99427V",18,18
"99428N",18,18
"99430W",18,18
"99431O",18,18
"99432H",18,18
"99433Z",18,18
"99434Q",18,18
"99435J",18,18
"99436B",18,18
"99438L",18,18
"99440U",18,18
"99441M",18,18
"99442F",18,18
"99443W",1,18
"99444O",18,18
"99445H",18,18
"99446Z",18,18
"99447Q",18,18
"99448J",18,18
"99449B",18,18
